Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
World,SI3_AGG - TO - Total merchandise,World,16035818,17740817,19549257,19014182,17648303,22343840,24904489
World,SI3_AGG - AG - Agricultural products,World,1584357,1729920,1805801,1782880,1803726,2162376,
World,SI3_AGG - AGFO - Food,World,1356079,1472607,1533691,1531509,1570025,1848012,
World,SI3_AGG - MI - Fuels and mining products,World,2033877,2612022,3269207,3097493,2334297,3654527,
World,SI3_AGG - MIFU - Fuels,World,1492452,1948475,2529449,2366575,1576992,2547614,
World,SI3_AGG - MA - Manufactures,World,11031395,12006068,13004267,12744423,12140264,14866069,
World,SI3_AGG - MAIS - Iron and steel,World,343655,415812,470170,419147,363885,585704,
World,SI3_AGG - MACH - Chemicals,World,1819845,1994770,2246259,2203152,2208882,2785154,
World,SI3_AGG - MACHPH - Pharmaceuticals,World,537964,566734,635741,669747,734493,880574,
World,SI3_AGG - MAMT - Machinery and transport equipment,World,5613687,6169315,6638568,6496381,6163584,7343503,
World,SI3_AGG - MAMTOF - Office and telecom equipment,World,1681597,1911412,2074187,2025567,2123616,2541711,
World,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,470076,624031,697842,669999,694362,821449,
World,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,685096,644284,657661,640902,638499,732982,
World,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,526425,643097,718684,714666,790755,987280,
World,SI3_AGG - MAMTTE - Transport equipment,World,2020173,2132859,2222284,2165637,1823494,2121474,
World,SI3_AGG - MAMTAU - Automotive products,World,1366670,1466102,1544219,1506349,1273528,1471054,
World,SI3_AGG - MATE - Textiles,World,281195,295332,312331,305638,328549,354269,
World,SI3_AGG - MACL - Clothing,World,445177,465620,494308,495396,450092,548830,
Afghanistan,SI3_AGG - TO - Total merchandise,World,596,723,875,864,777,1036,883
Afghanistan,SI3_AGG - AG - Agricultural products,World,437,637,725,730,694,734,
Afghanistan,SI3_AGG - AGFO - Food,World,339,495,579,548,530,546,
Afghanistan,SI3_AGG - MI - Fuels and mining products,World,7,51,100,89,51,159,
Afghanistan,SI3_AGG - MIFU - Fuels,World,,44,89,70,27,100,
Afghanistan,SI3_AGG - MA - Manufactures,World,39,34,34,44,25,143,
Afghanistan,SI3_AGG - MAIS - Iron and steel,World,,,,0,0,0,
Afghanistan,SI3_AGG - MACH - Chemicals,World,,1,0,1,1,2,
Afghanistan,SI3_AGG - MACHPH - Pharmaceuticals,World,,,,0,0,0,
Afghanistan,SI3_AGG - MAMT - Machinery and transport equipment,World,,0,4,1,5,77,
Afghanistan,SI3_AGG - MAMTOF - Office and telecom equipment,World,,,0,0,2,59,
Afghanistan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,,,0,0,55,
Afghanistan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,,0,0,1,2,
Afghanistan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,,,0,0,2,
Afghanistan,SI3_AGG - MAMTTE - Transport equipment,World,,,2,1,2,5,
Afghanistan,SI3_AGG - MAMTAU - Automotive products,World,,,2,1,0,1,
Afghanistan,SI3_AGG - MATE - Textiles,World,39,25,23,30,10,15,
Afghanistan,SI3_AGG - MACL - Clothing,World,,0,0,0,0,1,
Africa,SI3_AGG - TO - Total merchandise,World,361148,434363,508966,479916,394404,556149,655239
"African, Caribbean and Pacific States (ACP)",SI3_AGG - TO - Total merchandise,World,299120,355703,409869,385992,333715,441167,511604
