Reporting Economy,Product/Sector,Year,Value
World,Agricultural products,2016,1584357.117
World,Agricultural products,2017,1729919.887
World,Agricultural products,2018,1805801.241
World,Agricultural products,2019,1782879.565
World,Agricultural products,2020,1803725.791
World,Agricultural products,2021,2162375.682
Afghanistan,Agricultural products,2020,693.744439
Afghanistan,Agricultural products,2021,733.630007
Afghanistan,Agricultural products,2019,729.900074
Afghanistan,Agricultural products,2018,725.207783
Afghanistan,Agricultural products,2017,636.947822
Afghanistan,Agricultural products,2016,437.070449
Albania,Agricultural products,2016,217.775785
Albania,Agricultural products,2017,273.600692
Albania,Agricultural products,2019,337.625914
Albania,Agricultural products,2018,316.542246
Albania,Agricultural products,2020,373.693845
Albania,Agricultural products,2021,447.649371
Algeria,Agricultural products,2020,414.821173
Algeria,Agricultural products,2021,467.870972
Algeria,Agricultural products,2017,370.117249
Algeria,Agricultural products,2018,278.328361
Algeria,Agricultural products,2019,308.999828
Algeria,Agricultural products,2016,341.286284
Angola,Agricultural products,2016,235.430371
Angola,Agricultural products,2018,288.294974
Angola,Agricultural products,2017,239.201946
Angola,Agricultural products,2019,131.83594
Angola,Agricultural products,2021,93.669075
Angola,Agricultural products,2020,133.118968
Antigua and Barbuda,Agricultural products,2020,1.964891
Antigua and Barbuda,Agricultural products,2019,4.808659
Antigua and Barbuda,Agricultural products,2021,3.375182
Antigua and Barbuda,Agricultural products,2018,6.261666
Antigua and Barbuda,Agricultural products,2016,1.443879
Antigua and Barbuda,Agricultural products,2017,5.231545
Azerbaijan,Agricultural products,2017,699.311242
Azerbaijan,Agricultural products,2016,542.365363
Azerbaijan,Agricultural products,2018,786.708734
Azerbaijan,Agricultural products,2019,899.091076
Azerbaijan,Agricultural products,2020,895.621276
Azerbaijan,Agricultural products,2021,1032.509193
Argentina,Agricultural products,2020,36092.85428
Argentina,Agricultural products,2021,42672.85462
Argentina,Agricultural products,2019,38999.13184
Argentina,Agricultural products,2018,34340.8345
Argentina,Agricultural products,2017,35573.9981
Argentina,Agricultural products,2016,36995.27464
Australia,Agricultural products,2016,33828.21141
Australia,Agricultural products,2017,42118.30739
Australia,Agricultural products,2018,36471.71986
Australia,Agricultural products,2019,35184.06859
Australia,Agricultural products,2021,46716.10045
Australia,Agricultural products,2020,31427.21898
Austria,Agricultural products,2021,21313.39371
Austria,Agricultural products,2020,18253.44716
Austria,Agricultural products,2019,17979.893
Austria,Agricultural products,2017,16593.53342
Austria,Agricultural products,2018,18190.45389
Austria,Agricultural products,2016,15252.72367
Bahamas,Agricultural products,2017,89.109477
Bahamas,Agricultural products,2016,78.51263
Bahamas,Agricultural products,2018,87.448481
Bahamas,Agricultural products,2019,87.277197
Bahamas,Agricultural products,2021,46.74649
Bahamas,Agricultural products,2020,36.012142
"Bahrain, Kingdom of",Agricultural products,2019,624.77116
"Bahrain, Kingdom of",Agricultural products,2021,684.010974
"Bahrain, Kingdom of",Agricultural products,2020,598.87536
"Bahrain, Kingdom of",Agricultural products,2018,604.628335
"Bahrain, Kingdom of",Agricultural products,2016,376.775652
"Bahrain, Kingdom of",Agricultural products,2017,535.428439
Bangladesh,Agricultural products,2016,1181.959481
Bangladesh,Agricultural products,2017,1151.692666
Bangladesh,Agricultural products,2018,1115.859472
Bangladesh,Agricultural products,2020,1195.4
Bangladesh,Agricultural products,2019,1195.5
Bangladesh,Agricultural products,2021,1595.6
Armenia,Agricultural products,2019,775.256676
Armenia,Agricultural products,2020,706.233551
Armenia,Agricultural products,2021,870.714112
Armenia,Agricultural products,2018,669.943814
Armenia,Agricultural products,2017,625.373947
Armenia,Agricultural products,2016,517.173667
Barbados,Agricultural products,2016,95.176984
Barbados,Agricultural products,2017,109.331661
Barbados,Agricultural products,2019,89.38785
Barbados,Agricultural products,2018,96.370573
Barbados,Agricultural products,2020,82.263839
Barbados,Agricultural products,2021,95.837194
Belgium,Agricultural products,2020,50331.11639
Belgium,Agricultural products,2021,57801.85741
Belgium,Agricultural products,2019,50199.02948
Belgium,Agricultural products,2018,51283.21313
Belgium,Agricultural products,2017,48869.15787
Belgium,Agricultural products,2016,45460.28022
Bermuda,Agricultural products,2016,5.502692
Bermuda,Agricultural products,2017,5.608289
Bermuda,Agricultural products,2019,3.905376
Bermuda,Agricultural products,2018,4.423863
Bermuda,Agricultural products,2021,2.313675
Bermuda,Agricultural products,2020,3.183426
"Bolivia, Plurinational State of",Agricultural products,2020,1469.119182
"Bolivia, Plurinational State of",Agricultural products,2021,2204.800805
"Bolivia, Plurinational State of",Agricultural products,2018,1442.34164
"Bolivia, Plurinational State of",Agricultural products,2019,1301.163467
"Bolivia, Plurinational State of",Agricultural products,2017,1245.157764
"Bolivia, Plurinational State of",Agricultural products,2016,1489.214093
Bosnia and Herzegovina,Agricultural products,2016,875.143742
Bosnia and Herzegovina,Agricultural products,2017,938.86614
Bosnia and Herzegovina,Agricultural products,2019,773.747572
Bosnia and Herzegovina,Agricultural products,2018,874.104065
Bosnia and Herzegovina,Agricultural products,2020,802.576364
Bosnia and Herzegovina,Agricultural products,2021,972.18208
Botswana,Agricultural products,2019,97.416273
Botswana,Agricultural products,2021,135.833211
