Reporting Economy,Product/Sector,Year,Value
World,Fuels and mining products,2016,2129435.378
Afghanistan,Fuels and mining products,2016,1045.026833
Albania,Fuels and mining products,2016,461.580036
Algeria,Fuels and mining products,2016,2321.253858
Angola,Fuels and mining products,2016,1650.388342
Antigua and Barbuda,Fuels and mining products,2016,36.792031
Azerbaijan,Fuels and mining products,2016,387.916696
Argentina,Fuels and mining products,2016,5938.579593
Australia,Fuels and mining products,2016,20531.16813
Austria,Fuels and mining products,2016,16051.04367
Bahamas,Fuels and mining products,2016,423.58837
"Bahrain, Kingdom of",Fuels and mining products,2016,1193.607028
Bangladesh,Fuels and mining products,2016,3663.332158
Armenia,Fuels and mining products,2016,644.0449
Barbados,Fuels and mining products,2016,263.607058
Belgium,Fuels and mining products,2016,50849.10618
Bermuda,Fuels and mining products,2016,85.669958
"Bolivia, Plurinational State of",Fuels and mining products,2016,878.933887
Bosnia and Herzegovina,Fuels and mining products,2016,1361.291353
Botswana,Fuels and mining products,2016,899.042723
Brazil,Fuels and mining products,2016,22449.74082
Belize,Fuels and mining products,2016,99.909753
Solomon Islands,Fuels and mining products,2016,74.584108
Brunei Darussalam,Fuels and mining products,2016,267.797461
Bulgaria,Fuels and mining products,2016,5739.024547
Myanmar,Fuels and mining products,2016,1859.264186
Burundi,Fuels and mining products,2016,114.631469
Belarus,Fuels and mining products,2016,8200.6987
Cambodia,Fuels and mining products,2016,1263.556142
Cameroon,Fuels and mining products,2016,636.627615
Canada,Fuels and mining products,2016,36457.1821
Cabo Verde,Fuels and mining products,2016,63.197774
Central African Republic,Fuels and mining products,2016,3.217153
Sri Lanka,Fuels and mining products,2016,2616.990805
Chile,Fuels and mining products,2016,8691.921524
China,Fuels and mining products,2016,326215.8071
Chinese Taipei,Fuels and mining products,2016,44588.95592
Colombia,Fuels and mining products,2016,4560.709958
Comoros,Fuels and mining products,2016,21.266156
Congo,Fuels and mining products,2016,198.676754
Democratic Republic of the Congo,Fuels and mining products,2016,631.683736
Costa Rica,Fuels and mining products,2016,1419.267029
Croatia,Fuels and mining products,2016,3200.332652
Cyprus,Fuels and mining products,2016,1248.813192
Czech Republic,Fuels and mining products,2016,11475.44593
Benin,Fuels and mining products,2016,361.850486
Denmark,Fuels and mining products,2016,5745.127125
Dominican Republic,Fuels and mining products,2016,2967.701017
Ecuador,Fuels and mining products,2016,2870.906745
El Salvador,Fuels and mining products,2016,1291.175226
Ethiopia,Fuels and mining products,2016,1771.198591
Estonia,Fuels and mining products,2016,1480.681305
Fiji,Fuels and mining products,2016,368.35726
Finland,Fuels and mining products,2016,10952.84546
France,Fuels and mining products,2016,59553.70728
French Polynesia,Fuels and mining products,2016,143.658784
Gabon,Fuels and mining products,2016,61.280663
Georgia,Fuels and mining products,2016,1358.298598
The Gambia,Fuels and mining products,2016,67.406011
Germany,Fuels and mining products,2016,117118.9543
Ghana,Fuels and mining products,2016,351.93822
Kiribati,Fuels and mining products,2016,16.775819
Greece,Fuels and mining products,2016,12456.39257
Greenland,Fuels and mining products,2016,66.592056
